gnss_vel,insar_vel,error,abs_error,within95
1.83,-0.066054962575436,1.8960549625754362,1.8960549625754362,False
1.22,-3.872086524963379,5.092086524963379,5.092086524963379,False
1.22,0.510797083377838,0.709202916622162,0.709202916622162,True
1.16,0.659745573997498,0.5002544260025019,0.5002544260025019,True
1.22,-0.804653763771057,2.024653763771057,2.024653763771057,False
0.92,-0.534654796123505,1.454654796123505,1.454654796123505,True
0.86,-0.588935375213623,1.448935375213623,1.448935375213623,True
1.13,-0.612505078315735,1.7425050783157348,1.7425050783157348,True
0.97,0.945266723632812,0.02473327636718803,0.02473327636718803,True
0.76,-1.12276828289032,1.88276828289032,1.88276828289032,True
0.93,-0.451036661863327,1.3810366618633272,1.3810366618633272,True
1.01,-1.924774050712585,2.9347740507125852,2.9347740507125852,True
0.65,0.06059692427516,0.5894030757248401,0.5894030757248401,True
